Designator,Mid X,Mid Y,Rotation,Layer
SW1,137.18,-111.03,0.0,top
SW10,213.18,-54.03,0.0,top
SW11,232.18,-54.03,0.0,top
SW12,156.18,-111.03,0.0,top
SW13,42.18,-73.03,0.0,top
SW14,61.18,-73.03,0.0,top
SW15,80.18,-73.03,0.0,top
SW16,99.18,-73.03,0.0,top
SW17,118.18,-73.03,0.0,top
SW18,137.18,-73.03,0.0,top
SW19,156.18,-73.03,0.0,top
SW2,61.18,-54.03,180.0,top
SW20,175.18,-73.03,0.0,top
SW21,194.18,-73.03,0.0,top
SW22,213.18,-73.03,0.0,top
SW23,232.18,-73.03,0.0,top
SW24,251.18,-73.03,0.0,top
SW25,42.18,-92.03,0.0,top
SW26,61.18,-92.03,0.0,top
SW27,80.18,-92.03,0.0,top
SW28,99.18,-92.03,0.0,top
SW29,118.18,-92.03,0.0,top
SW3,80.18,-54.03,180.0,top
SW30,137.18,-92.03,0.0,top
SW31,156.18,-92.03,0.0,top
SW32,175.18,-92.03,0.0,top
SW33,194.18,-92.03,0.0,top
SW34,213.18,-92.03,0.0,top
SW35,232.18,-92.03,0.0,top
SW36,251.18,-92.03,0.0,top
SW37,175.18,-111.03,0.0,top
SW38,61.18,-111.03,0.0,top
SW39,80.18,-111.03,0.0,top
SW4,99.18,-54.03,0.0,top
SW40,99.18,-111.03,0.0,top
SW41,251.18,-54.03,0.0,top
SW42,42.18,-130.03,0.0,top
SW44,251.18,-130.03,0.0,top
SW45,194.18,-111.03,0.0,top
SW46,213.18,-111.03,0.0,top
SW47,232.18,-111.03,0.0,top
SW48,118.18,-111.03,0.0,top
SW5,118.18,-54.03,0.0,top
SW50,61.18,-130.03,0.0,top
SW51,80.18,-130.03,0.0,top
SW52,99.18,-130.03,0.0,top
SW53,251.18,-111.03,0.0,top
SW54,42.18,-54.03,0.0,top
SW57,194.18,-130.03,0.0,top
SW58,213.18,-130.03,0.0,top
SW59,232.18,-130.03,0.0,top
SW6,137.18,-54.03,0.0,top
SW63,42.18,-111.03,0.0,top
SW7,156.18,-54.03,0.0,top
SW8,175.18,-54.03,0.0,top
SW9,194.18,-54.03,0.0,top
